#;Genere;Età (anni compiuti, inserisca il numero);Che tipo di lavoro svolge (lo descriva in poche parole. Se ne svolge più di uno li descriva tutti).;Inquadramento (se svolge più di un lavoro, si riferisca a quello a cui dedica più tempo);Settore;Grado di istruzione più elevato raggiunto:;Coniuge/convivente;Genitori;Figli;Altri;Da sola/o;Quante ore lavora in media per settima? (straordinari inclusi);Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI LAVORATIVI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI PERSONALI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER FARE CHIAMATE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER NAVIGARE SUL BROWSER (es. Google Chrome) durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER USARE APPLICAZIONI (es. WhatsApp) durante l'orario lavorativo?;Il mio lavoro mi fa sentire ARRABBIATA/O.;Il mio lavoro mi fa sentire ANSIOSA/O.;Il mio lavoro mi fa sentire DISGUSTATA/O.;Il mio lavoro mi fa sentire SCORAGGIATA/O.;Il mio lavoro mi fa sentire PESSIMISTA.;Il mio lavoro mi fa sentire AFFATICATA/O.;Il mio lavoro mi fa sentire PIENA/O DI ENERGIA.;Il mio lavoro mi fa sentire ENTUSIASTA.;Il mio lavoro mi fa sentire ISPIRATA/O.;Il mio lavoro mi fa sentire A MIO AGIO.;Il mio lavoro mi fa sentire SODDISFATTA/O.;Il mio lavoro mi fa sentire RILASSATA/O.;Si sente sfinita/o alla fine di una giornata lavorativa?;La mattina, al pensiero di un'altra giornata lavorativa da affrontare, si sente già esausta/o?;Sente che ogni ora di lavoro è per lei stancante?;Ha abbastanza energie per la famiglia e gli amici durante il tempo libero?;Il suo lavoro è emotivamente spossante?;Si sente consumata/o e spenta/o a causa del suo lavoro?;Si sente frustrata/o a causa del suo lavoro?;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Quante volte accade che il suo lavoro le richieda di LAVORARE MOLTO VELOCEMENTE?;Quante volte accade che il suo lavoro le richieda di LAVORARE DURAMENTE?;"Quante volte le capita che il suo lavoro le lasci POCO TEMPO A DISPOSIZIONE per finire le cose che deve fare?";Quante volte al lavoro ci sono TANTISSIME COSE DA FARE?;Quante volte le capita di avere PIÙ LAVORO DI QUANTO NE POTREBBE SVOLGERE BENE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INTERRUZIONI DA PARTE DI ALTRE PERSONE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INADEGUATO AIUTO DA PARTE DEGLI ALTRI?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...REGOLE E PROCEDURE ORGANIZZATIVE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa...DEL SUO SUPERVISORE O DEL SUO CAPO?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...APPARECCHIATURE O FORNITURE INADEGUATE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...FORMAZIONE PERSONALE INSUFFICIENTE?;Quante volte accade che il suo lavoro le permetta di PRENDERE MOLTE DECISIONI IN AUTONOMIA?;Quante volte le capita di AVERE VOCE IN CAPITOLO rispetto all'organizzazione del suo lavoro?;Quante volte le capita di avere POCA LIBERTÀ DI DECIDERE COME FARE il suo lavoro?;Quante volte le capita di POTER DECIDERE COSA FARE a lavoro?;Quante volte le capita di POTER PIANIFICARE IL TEMPO in cui svolgere il suo lavoro?;Mi sembra di essere di fretta e in corsa contro il tempo;Continuo a lavorare dopo che i miei colleghi hanno smesso;"E’ importante per me lavorare intensamente anche quando quello che faccio non mi piace";Mi tengo impegnato e ‘metto molta carne sul fuoco’;"Sento che c’è qualcosa dentro di me che mi spinge a lavorare intensamente";Dedico più tempo al lavoro che a socializzare con gli amici, ad hobby o ad altre attività del tempo libero;"Mi sento obbligato a lavorare intensamente, anche quando ciò non è piacevole";Mi ritrovo a fare due o tre cose contemporaneamente, come ad esempio consumare il pranzo, scrivere un promemoria e utilizzare il telefono;Mi sento colpevole quando mi prendo del tempo libero dal lavoro;E’ difficile per me rilassarmi quando non lavoro;Inserisca il suo CODICE PERSONALE;Che tipo di smartphone possiede?;"Grazie! Questa fase preliminare dello studio è terminata. Una COPIA PDF del consenso informato, delle istruzioni e del modulo per l'autorizzazione del datore di lavoro* è allegata alla mail con cui l'abbiamo contattata. *****************  IMPORTANTE **********************************************************************Per inviarci le sue risposte deve: (1) cliccare sul tasto ""Continua"" qui sotto,(2) cliccare sul tasto ""Invia"" di seguito. ******************************************************************************************************Grazie mille per la collaborazione!";Start Date (UTC);Submit Date (UTC);Network ID
e5e76fc436e80963e8caaa3941d63d7f;Femmina;55;lavori di segreteria, archiviazioni pratica, ricevimento clienti  etc.;Dipendente - livello non dirigenziale;Privato;Scuole Medie;Coniuge/convivente;;;;;40;4;4;2;1;2;3;3;2;1;1;1;3;3;3;3;4;4;3;3;1;1;3;3;1;1;;;;Sonno disturbato;;Respiro affannoso;;;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;2;3;3;3;1;1;1;1;1;1;4;4;1;3;3;2;1;1;1;3;1;1;3;1;1;LPTB1929;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-14 08:01:54;2019-03-14 08:17:14;f7afcf13a3
e157483d216a47047582f939cadb645b;Femmina;25;Impiegata amministrativa;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;;Genitori;;;;43;4;4;4;2;1;4;4;5;4;4;5;4;2;3;3;3;3;2;3;2;3;3;2;3;4;;Mal di stomaco o nausea;Mal di schiena;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;2;3;2;2;4;3;1;1;1;4;1;3;2;1;4;3;1;2;2;2;1;2;3;1;1;UCGZ1956;Con sistema iOS (iPhone);Continua;2019-03-13 21:21:25;2019-03-13 21:38:20;dbfbc03dbd
04957f0027057c3076b389629f1c78a2;Femmina;24;social media manager;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;Altri;;37;5;5;3;1;2;3;3;5;2;4;2;2;3;3;3;4;3;2;3;4;3;3;4;4;4;;Mal di stomaco o nausea;;;;;;Mal di testa;;Acidità o bruciore di stomaco;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;3;3;2;2;4;5;2;2;2;4;3;4;2;2;2;3;3;4;2;2;2;2;2;CSNR1962;Con sistema iOS (iPhone);Continua;2019-03-13 14:09:20;2019-03-13 15:03:19;8d6e99ae20
d5e0bda7f9e2fa6ecab4cb2d7020d4d1;Femmina;27;Impiegata amministrativa;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;40;3;5;1;5;1;2;4;2;2;2;1;2;2;2;2;3;2;1;3;4;3;3;2;5;3;;Mal di stomaco o nausea;;;;;;;Febbre;;;Diarrea;Crampi allo stomaco;;;;;Stanchezza o affaticamento;;Mal di stomaco o nausea;;;;;;;Febbre;;;Diarrea;Crampi allo stomaco;;;;;Stanchezza o affaticamento;3;3;2;4;3;4;2;1;3;1;1;4;4;1;4;4;2;3;4;2;2;2;3;3;1;1;FDRR1959;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-12 23:32:53;2019-03-12 23:55:11;047079a66f
bab43c5693a8d41641bcb429f9e84e32;Femmina;25;Assistente in un reparto di produzione;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;;;;45;5;4;4;2;2;4;3;3;2;2;4;4;2;3;1;5;4;1;3;3;2;2;4;4;3;;;;Sonno disturbato;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;4;5;3;4;3;3;3;4;4;3;4;2;4;4;3;2;3;2;3;3;3;3;2;2;GMGS1965;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-12 20:25:25;2019-03-12 21:00:01;03fde30d1d
4c435ff7e84d7ca55ea20267e5d5e866;Maschio;63;impiegato, coordinatore  preparazione logistico spedizione macchine per imballo;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;Figli;;;40;5;5;3;4;5;4;3;3;4;3;4;3;2;1;1;3;2;3;3;3;4;3;2;3;3;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;;;;;;;;;;Mal di stomaco o nausea;Mal di schiena;;;;;;;;;;;;;;;;4;3;3;2;3;5;5;5;4;3;2;3;2;5;2;3;2;1;2;2;2;1;2;3;2;2;FZEF1930;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-12 19:40:52;2019-03-12 20:21:27;58748e4887
0b8ae241cd261de713e042921fbdb29a;Femmina;24;Marketing assistant in una start-up;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;40;5;5;4;1;3;4;2;1;1;2;1;2;3;4;4;4;4;4;3;1;2;4;2;1;1;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;3;3;4;3;4;3;2;3;1;2;5;5;2;5;5;2;1;4;4;4;1;4;1;1;1;LCNSRD94;Con sistema iOS (iPhone);Continua;2019-03-12 17:03:03;2019-03-12 17:13:32;065ded2f43
157addf0e26eeb4358ae718168477427;Femmina;36;impiegata amministrativa presso la segreteria didattica del Dipartimento di Psicologia Generale;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;24;5;2;4;3;3;4;3;2;1;1;1;2;3;4;3;4;4;3;3;2;2;5;2;1;1;;;;;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;;;;;;;;;;;;;;;Stanchezza o affaticamento;3;3;2;3;3;4;3;3;4;3;4;3;4;3;4;4;3;1;3;3;3;2;3;3;2;2;GMGA1942;Con sistema iOS (iPhone);;2019-03-12 10:11:52;2019-03-12 10:21:29;308f933f83
c2220c831b8a2a36c442e1282c845727;Femmina;27;Back Office Commerciale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;40;4;4;3;4;4;4;3;4;3;5;4;4;1;1;1;2;1;1;3;4;3;3;3;3;4;;Mal di stomaco o nausea;;Sonno disturbato;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;;;;;Stanchezza o affaticamento;;;;;;;;;;;;Diarrea;;;;;;;2;2;2;2;2;2;3;2;2;1;2;1;2;2;2;3;3;1;2;2;2;1;2;1;1;2;FPMGR1956;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-10 22:06:06;2019-03-10 22:25:16;ee2cec349b
6343ad2ffe019b9b9bb9247916f69877;Maschio;58;responsabile;Dipendente - livello non dirigenziale;Privato;Scuole Medie;Coniuge/convivente;;;;;40;3;1;4;3;3;3;2;2;1;1;1;1;3;2;4;3;3;3;2;1;1;4;2;1;1;;;;Sonno disturbato;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;2;3;4;4;3;3;4;3;3;4;4;3;4;3;3;1;1;2;3;3;2;1;1;1;1;anni1921;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-10 18:16:13;2019-03-10 18:51:54;ff92e6a919
7cc1a26155cc4fa35e48d51287383161;Femmina;31;"Manager Didattico; Consulente; giornalista Freelance";A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;50;5;5;3;2;3;3;2;2;2;2;2;4;4;4;4;4;4;3;3;2;2;3;3;2;2;;;;Sonno disturbato;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;3;3;3;3;2;3;3;3;3;4;4;3;4;3;2;3;3;3;3;3;2;3;3;3;Frazac333;Con sistema iOS (iPhone);Continua;2019-03-09 16:09:57;2019-03-09 16:19:49;78b042a210
db4e28b8dbd8a70af106466e15225110;Maschio;42;Direzione ufficio acquisti, direzione operativa, resp. gestione sistema qualità, vendite & aftersales;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;Figli;;;60;4;5;2;4;1;3;4;4;1;2;3;4;5;4;3;2;2;1;4;2;2;2;5;3;3;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;4;5;5;5;5;4;3;5;5;5;5;1;5;4;3;4;4;3;4;3;4;3;2;2;FZBR50;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-08 09:30:01;2019-03-08 14:50:07;a2b8e9cafc
6f1b8265c64c92dbdee44c0da3c731ff;Maschio;44;"Responsabile divisione Trattamento acqua
Progettista impianti
Responsabile commessa";Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;45;5;5;3;3;3;3;4;5;2;3;3;2;1;1;2;3;3;1;3;4;3;1;3;5;4;;Mal di stomaco o nausea;;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;Battito accelerato a riposo;;;Stanchezza o affaticamento;;;;;;;;;;;Affaticamento agli occhi;;;;;;;;5;3;5;5;5;4;4;4;3;3;3;4;4;3;3;2;4;2;2;2;2;4;3;4;4;3;MGMR1951;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-08 10:14:08;2019-03-08 10:30:44;a2b8e9cafc
c37a57dfea87ba304cbdc3a61b8e96ac;Femmina;26;ufficio back office comerciale;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;40;3;3;4;2;3;4;4;4;2;1;2;4;3;2;4;3;4;2;5;3;4;3;3;3;2;;;Mal di schiena;;;;;Mal di testa;;;;;;Costipazione;;Calo di appetito;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;5;4;5;4;4;2;4;2;2;2;4;3;4;3;2;4;3;3;3;2;4;3;4;1;1;PPVG1973;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-08 08:21:03;2019-03-08 08:47:04;61e737a427
b17b21404dfaf2fc6e744c37c1d33ea1;Maschio;23;Impiegato ufficio tecnico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;40;5;4;5;3;1;5;2;1;1;2;2;3;4;5;5;5;5;3;2;1;1;4;1;2;1;;;Mal di schiena;;;;;;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;2;3;1;1;2;1;2;1;1;4;5;1;4;3;2;2;3;4;3;3;4;2;1;1;FRCA1961;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-07 21:15:19;2019-03-07 21:52:27;28cff25768
a23ae4f55b18cf7cde9076276c126edc;Maschio;29;Project Manager;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;45;5;5;3;5;2;5;4;3;2;3;4;5;2;2;2;2;2;3;4;3;2;2;3;3;3;;;Mal di schiena;;Eruzione cutanea;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;;;Mal di schiena;;;;;;;;;;;;;;;;5;5;5;5;5;4;4;5;4;3;2;3;3;3;3;3;3;4;4;3;4;4;4;2;3;2;GAMF1962;Con sistema iOS (iPhone);Continua;2019-03-07 17:54:19;2019-03-07 18:16:29;c5facd4921
7806a11128737cfc245e3acfdd32717e;Maschio;45;"progettista
supervisore";Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;50;5;4;1;4;4;4;2;3;1;1;1;3;3;2;3;3;4;2;3;1;1;3;4;3;1;;;;;;;;;;Acidità o bruciore di stomaco;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;2;3;4;4;4;4;3;3;2;2;2;4;4;2;5;4;3;3;2;3;3;3;3;1;2;2;PSIS1945;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-03-07 13:48:10;2019-03-07 14:19:17;a2b8e9cafc
fbf556990c9c8a638aaa80b448c3392b;Maschio;29;Recruiter;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;3;3;3;3;2;3;3;3;1;3;2;3;4;4;4;4;4;2;3;3;2;3;3;4;3;;;;;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;5;4;3;3;2;2;2;2;3;5;2;4;4;4;3;2;3;3;2;1;2;1;1;VTGF1966;Con sistema iOS (iPhone);Continua;2019-03-05 20:07:17;2019-03-05 20:22:20;8ece43dac9
385fb8301b5847c76522c076ffd2a82a;Femmina;28;Responsabile marketing e comunicazione aziendale;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;40;5;5;5;5;3;5;3;2;1;1;1;4;4;5;4;4;4;4;4;3;1;4;2;2;3;;;;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;5;4;3;3;3;1;2;2;4;5;1;5;5;4;4;4;2;4;2;1;4;1;1;GGNF1957;Con sistema iOS (iPhone);Continua;2019-03-05 11:57:31;2019-03-05 15:44:36;540d99977e
27997f25af4f7ce50b086e582fd3050b;Femmina;24;Commerciale;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;50;5;3;5;3;3;4;4;3;1;3;3;5;3;3;4;2;3;3;5;4;3;3;3;4;4;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;Costipazione;;Calo di appetito;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;2;3;2;4;4;3;3;2;1;3;3;3;2;5;2;3;4;2;3;1;4;4;1;1;AMMP1969;Con sistema iOS (iPhone);Continua;2019-03-05 11:40:21;2019-03-05 13:57:11;185272facf
2d454f5cedcce7bdca338b7a847e1041;Femmina;25;Addetta alla selezione del personale;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;Altri;;50;5;5;4;3;4;5;2;3;1;1;1;4;3;4;3;5;4;2;4;4;2;3;2;3;1;;;;;;;;;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;4;4;3;2;3;2;1;2;1;5;5;1;5;5;3;2;2;3;4;3;2;2;2;1;LTRS1964;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2019-03-05 09:44:27;2019-03-05 10:12:30;60c826cb80
79bfdffe638bbf222f5f1b724d18874e;Maschio;25;Progettazione spazi adibiti a retail e visual merchandising strategico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;49;4;5;4;2;4;4;3;4;2;3;2;3;4;5;5;4;5;4;4;2;2;4;4;3;2;;;Mal di schiena;;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;;;;;;;;;;Febbre;;;;;;;;;;5;5;4;5;4;4;4;4;3;2;3;3;3;3;4;3;4;3;4;3;4;2;3;2;2;2;SLRB1966;Con sistema iOS (iPhone);;2019-03-05 08:20:51;2019-03-05 08:35:33;f0b5c21218
988bdf5aba0374e7ed78fa669a7a5c88;Femmina;31;lavoro d'ufficio, pratiche amministrative in back office e sportello al pubblico;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;;Da sola/o;38;5;4;4;2;2;4;3;3;2;4;2;4;1;3;3;4;3;2;3;2;1;5;3;1;3;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;3;3;3;4;2;2;2;2;2;4;4;2;4;4;2;4;4;3;2;2;3;4;3;1;GSMC1944;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-02-28 13:35:19;2019-02-28 14:07:33;14ed1d505e
2b52c3bcb5934f0b6aadf1ae00283952;Maschio;29;impegato;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;42;5;5;3;5;3;3;2;4;3;3;4;5;4;3;2;5;3;1;4;3;3;3;4;3;2;;;Mal di schiena;;;;;Mal di testa;;Acidità o bruciore di stomaco;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;2;3;3;4;5;5;2;1;1;4;4;2;4;4;2;2;2;3;3;1;4;2;4;1;MPET1962;Con sistema iOS (iPhone);;2019-02-25 09:11:51;2019-02-25 09:24:35;088ddc34eb
5f4d6b32e55cb77b5c7f9de6eddf8c64;Femmina;30;Coordinatrice progetti R&D in ambito UX e service design;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;45;4;4;4;3;2;4;4;4;3;3;4;4;3;3;3;2;3;1;4;4;3;3;4;4;5;;;Mal di schiena;;Eruzione cutanea;;;Mal di testa;;;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;;;;Vertigini;Stanchezza o affaticamento;;;Mal di schiena;;;;;;;;;Diarrea;;;;;;Stanchezza o affaticamento;3;3;3;3;4;3;4;4;4;2;3;4;4;3;4;4;3;3;2;2;3;4;3;2;2;2;MGEB1960;Con sistema iOS (iPhone);Continua;2019-02-24 20:09:33;2019-02-24 20:39:24;62905a5eb8
4ee13c19242191a3d39f4500fcd1dbeb;Femmina;23;Impiegata amministrativa;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;45;4;2;4;2;3;5;4;3;4;2;3;4;3;4;4;3;4;2;4;3;3;2;3;1;2;;;;Sonno disturbato;;;;Mal di testa;;;;;;;Battito accelerato a riposo;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;4;3;4;3;3;2;2;2;4;1;2;4;2;2;2;3;2;3;4;3;3;4;3;2;Prova_ValentinaRossi;Con sistema iOS (iPhone);Continua;2019-02-24 10:45:22;2019-02-24 11:02:03;312c3a560c
b56e3b6cd1183c5348950eb711e7472e;Femmina;33;Digital Marketer freelance e Youth Worker;Libero professionista/imprenditore;Privato;Laurea/Post-laurea;;;;Altri;;45;5;5;2;2;4;4;2;5;1;1;1;4;5;4;5;4;4;2;3;2;2;5;3;1;1;;;;;;;;;;Acidità o bruciore di stomaco;;;Crampi allo stomaco;;Battito accelerato a riposo;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;5;4;4;3;3;2;2;1;3;3;4;5;1;4;4;3;2;4;4;4;3;4;4;2;3;Ciao AGMC1959;Con sistema iOS (iPhone);Continua;2019-02-23 11:26:21;2019-02-23 11:49:46;f8098fc7c5
b6349ecab24b5c84ee8f602f31d8bdf7;Femmina;25;Lavoro nell’Ufficio Sales Support e supporto l’area di gestione di tutte le pratiche successive all’acquisizione dei clienti Business. Nel concreto mi occupo di : inserimento contratti, monitoraggio attivazioni, supporto tecnico ai Business Consultant, controllo e gestione della documentazione contrattuale;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;30;5;3;4;2;2;4;2;3;1;2;2;3;3;3;3;4;3;3;4;2;3;3;3;3;2;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;;;;;;;;;;;;;;;;3;3;4;4;3;3;2;2;2;2;3;4;3;3;3;3;2;2;3;2;3;2;2;2;2;3;provaBianca;Con sistema iOS (iPhone);;2019-02-15 09:20:42;2019-02-15 09:59:08;5ce3abcf9f
1ab94a29d2625e16b3cee3aa755001b2;Maschio;34;Archivista. Attività di censimento documentazione enti pubblici. Coordinamento altri operatori;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;40;5;5;5;3;3;4;3;2;1;2;2;4;3;3;4;4;3;3;3;2;1;4;3;1;1;;;;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;2;3;3;3;2;1;1;1;2;1;5;5;1;5;4;3;2;3;2;3;1;2;3;1;1;CGT16;Con sistema iOS (iPhone);;2019-02-12 17:42:28;2019-02-12 18:00:03;085ef655d8
e5a00a51705e1328e723ff91565b616b;Maschio;33;Impiegatizio;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;5;5;4;4;5;5;3;1;1;2;4;1;4;4;3;5;3;2;2;1;1;4;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;4;2;5;3;2;2;1;3;5;5;2;5;4;2;3;3;3;3;2;3;2;2;3;CSAM1951;Con sistema iOS (iPhone);Continua;2019-02-12 15:25:00;2019-02-12 15:35:57;2d20beb6ee
2be8f53c33e10faf6ef6a4e00c908ae5;Maschio;24;Sviluppatore web;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;45;5;5;4;2;4;4;1;2;1;1;2;2;3;4;4;4;4;3;3;2;1;3;2;3;2;;;;;;;;;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;3;4;3;3;3;3;2;2;1;1;1;3;4;2;3;4;2;3;3;3;3;2;3;2;3;1;Gcsb1961;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-02-12 14:13:12;2019-02-12 14:27:17;0636256d85
a02ee445d801bb0fba2f191b3d41c4cd;Femmina;40;Assegno di ricerca;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;32;4;3;4;1;1;4;2;4;2;4;3;3;4;4;5;3;4;2;3;2;2;4;3;3;4;;;Mal di schiena;;;;;;Febbre;;;;;;;;;;;;;;;;;;Febbre;;;;;;;;;;3;3;3;4;4;3;3;2;2;2;4;4;3;3;4;5;3;3;1;3;3;3;1;3;3;3;Lrfd50;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2019-02-10 21:22:20;2019-02-10 21:59:29;c989d5f897
